parameter,lower_bound,upper_bound
C,10000000000,10000000000
D,0.01,0.5
KB,1E-09,1E-06
K,1.5E-05,1.5E-05
K_omega,1E-07,1E-06
S0,0.22,0.22
g,1000000000000,1000000000000
kA,1E-22,1E-15
kBmax,1E-22,1E-15
mu_max,0.4,3
nB,1,2
n_omega,1,2
omega_max,0.5,2
p,0,0
